feature_set,model,cv_f1_mean,cv_f1_std,cv_auc_mean,cv_auc_std,cv_acc_mean,cv_acc_std
full,LogisticRegression,0.9825442464894886,0.007752336477690741,0.9958720330237357,0.004960006126191094,0.9780219780219781,0.009828870230768321
full,SVM(RBF),0.9756153066291582,0.011252295383339678,0.9955624355005159,0.004758366102538106,0.9692307692307693,0.014578570507056717
full,KNN,0.9704887085675032,0.00911106079108325,0.9882352941176471,0.008149795031116128,0.9626373626373625,0.011206636293610512
full,RandomForest,0.9699350059969529,0.01460477812598703,0.9895768833849328,0.008256901388106056,0.9626373626373628,0.01785502946073838
full,DecisionTree,0.9319011948418033,0.014434630245039952,0.9179050567595459,0.02009365045325374,0.9164835164835164,0.017855029460738393
