feature_set,n_features,setting,best_val_loss,test_acc,test_f1_malignant,test_auc_malignant
full,30,baseline,0.06626259535551071,0.956140350877193,0.9425287356321839,0.9940476190476191
full,30,regularized,0.06488420069217682,0.956140350877193,0.9425287356321839,0.9923941798941799
selected,10,baseline,0.0595259927213192,0.9649122807017544,0.9523809523809523,0.9943783068783069
selected,10,regularized,0.07375364005565643,0.956140350877193,0.9411764705882353,0.9947089947089947
