feature,importance
worst radius,0.22600362776137706
worst concave points,0.2107861095252579
worst area,0.210508641200712
mean concave points,0.1830984868442525
radius error,0.04908854883093395
worst texture,0.036273184226866526
mean texture,0.028709424831748372
worst symmetry,0.023298138748459152
worst smoothness,0.02210802134091492
fractal dimension error,0.010125816689477549
