model,cv_f1_mean_full,cv_auc_mean_full,cv_acc_mean_full,cv_f1_mean_selected,cv_auc_mean_selected,cv_acc_mean_selected,delta_f1,delta_auc,delta_acc
LogisticRegression,0.9825442464894886,0.9958720330237357,0.9780219780219781,0.9808053860640887,0.996078431372549,0.9758241758241757,-0.0017388604253998352,0.0002063983488133081,-0.002197802197802412
SVM(RBF),0.9756153066291582,0.9955624355005159,0.9692307692307693,0.9808356271149654,0.9966976264189886,0.9758241758241759,0.005220320485807228,0.001135190918472695,0.00659340659340657
KNN,0.9704887085675032,0.9882352941176471,0.9626373626373625,0.9722601849804201,0.9931888544891642,0.9648351648351647,0.0017714764129168614,0.004953560371517063,0.00219780219780219
RandomForest,0.9699350059969529,0.9895768833849328,0.9626373626373628,0.9772952780533528,0.9933952528379771,0.9714285714285715,0.007360272056399886,0.003818369453044368,0.00879120879120876
DecisionTree,0.9319011948418033,0.9179050567595459,0.9164835164835164,0.9538484853483327,0.9425180598555212,0.9428571428571427,0.021947290506529327,0.02461300309597525,0.02637362637362628
