model,cv_f1,test_acc,test_f1,test_auc,model_family,feature_set
LogReg_tuned_full,0.9878255609037587,0.9736842105263158,0.9793103448275862,0.9957010582010581,LogReg,full
LogReg_tuned_selected,0.982485315330225,0.9736842105263158,0.9790209790209791,0.9966931216931216,LogReg,selected
SVM_tuned_full,0.9810153888265501,0.9824561403508771,0.9861111111111112,0.9976851851851851,SVM,full
SVM_tuned_selected,0.9826668447152942,0.9824561403508771,0.9861111111111112,0.9953703703703702,SVM,selected
RF_tuned_full,0.9701813114156721,0.956140350877193,0.9655172413793104,0.9920634920634921,RF,full
RF_tuned_selected,0.9772347819855971,0.9649122807017544,0.9722222222222222,0.996031746031746,RF,selected
